pet_id,species,breed,age_months,weight_kg,formula,batch_id,trial_date,lab_technician,notes,palatability_score,time_to_first_bite,consumed_amount_grams,formula_label,weight_z,bite_speed
CAT-058,Cat,Siamese,96,4.5,C,B2024-009,2024-09-14,Dr. Okafor,NA,7.5,7.9,56,New Flavour Coating,-0.7915716294573876,Fast
DOG-059,Dog,Golden Retriever,42,22.9,C,B2024-011,2024-05-11,Dr. Chen,Container seal was compromised,8.3,11.3,93.6,New Flavour Coating,0.8431352743340129,Medium
DOG-142,Dog,Golden Retriever,45,13.7,A,B2024-015,2024-12-12,Dr. Chen,NA,10,10.3,104.4,Control,0.025781822438312705,Medium
DOG-203,Dog,German Shepherd,47,36.7,C,B2024-015,2024-11-03,Dr. Chen,Pet showed strong preference immediately,9.6,7.7,95.4,New Flavour Coating,2.0691654521775638,Fast
DOG-176,Dog,Golden Retriever,86,10.1,B,B2024-002,2024-02-17,Dr. Smith,NA,9.1,10.4,82.2,New Protein,-0.2940521369991352,Medium
DOG-100,Dog,Poodle,46,8.9,B,B2024-006,2024-10-11,Dr. Okafor,NA,7,10.4,82.9,New Protein,-0.4006634568116178,Medium
DOG-171,Dog,German Shepherd,114,30.9,B,B2024-010,2024-08-26,Dr. Smith,NA,9.3,12.4,96.5,New Protein,1.5538774064172305,Medium
DOG-259,Dog,Golden Retriever,15,10.5,C,B2024-002,2024-03-06,Dr. Smith,NA,9.3,16.7,85.2,New Flavour Coating,-0.2585150303949743,Medium
CAT-011,Cat,Bengal,15,5.8,B,B2024-003,2024-02-04,Dr. Patel,NA,8.6,6,72.7,New Protein,-0.6760760329938647,Fast
CAT-069,Cat,Bengal,49,3.2,A,B2024-008,2024-02-28,Dr. Smith,NA,3.1,24.7,47.6,Control,-0.9070672259209105,Medium
DOG-113,Dog,Beagle,74,4.7,C,B2024-002,2024-02-08,Dr. Patel,NA,8.1,18,46.9,New Flavour Coating,-0.7738030761553072,Medium
DOG-018,Dog,Labrador,87,19.2,B,B2024-010,2024-12-23,Dr. Patel,NA,7.3,13.4,78.7,New Protein,0.5144170382455249,Medium
DOG-036,Dog,Poodle,97,4.9,B,B2024-005,2024-03-27,Dr. Patel,NA,8.6,18.3,67.5,New Protein,-0.7560345228532266,Medium
DOG-164,Dog,Labrador,88,17.8,A,B2024-003,2024-02-05,Dr. Patel,NA,5.2,13,60.7,Control,0.39003716513096187,Medium
DOG-039,Dog,German Shepherd,113,17,A,B2024-008,2024-01-03,Dr. Okafor,NA,8,5.3,98.4,Control,0.31896295192264007,Fast
CAT-162,Cat,Siamese,21,4.9,A,B2024-012,2024-06-18,Dr. Okafor,NA,6.2,21.1,49.2,Control,-0.7560345228532266,Medium
DOG-183,Dog,German Shepherd,89,16.7,C,B2024-008,2024-02-19,Dr. Smith,NA,7.3,6.4,82.4,New Flavour Coating,0.29231012196951933,Fast
DOG-121,Dog,Golden Retriever,25,17.9,A,B2024-008,2024-11-13,Dr. Patel,NA,8.4,7.2,97.4,Control,0.3989214417820019,Fast
CAT-071,Cat,Maine Coon,9,5,C,B2024-006,2024-03-24,Dr. Patel,NA,7.3,10.3,78.1,New Flavour Coating,-0.7471502462021864,Medium
DOG-245,Dog,Beagle,21,25.9,C,B2024-001,2024-03-21,Dr. Okafor,NA,7.7,6.2,78.3,New Flavour Coating,1.1096635738652196,Fast
CAT-139,Cat,Siamese,103,NA,A,B2024-010,2024-03-26,Dr. Smith,NA,6.3,12.9,47.9,Control,NA,Medium
CAT-093,Cat,Maine Coon,106,6.2,C,B2024-002,2024-04-02,Dr. Smith,NA,9.6,6.5,71.8,New Flavour Coating,-0.6405389263897038,Fast
CAT-035,Cat,British Shorthair,37,4.1,A,B2024-015,2024-12-02,Dr. Okafor,NA,8.4,9.1,62.9,Control,-0.8271087360615484,Fast
CAT-080,Cat,Maine Coon,90,4.3,A,B2024-010,2024-12-20,Dr. Chen,NA,5.9,20.2,37.1,Control,-0.809340182759468,Medium
DOG-105,Dog,Golden Retriever,6,25.8,B,B2024-010,2024-06-23,Dr. Chen,NA,7,14,61.3,New Protein,1.1007792972141794,Medium
CAT-156,Cat,Maine Coon,69,4.2,C,B2024-004,2024-08-15,Dr. Okafor,NA,5.2,20.1,55.2,New Flavour Coating,-0.8182244594105083,Medium
DOG-091,Dog,Labrador,80,36.3,B,B2024-004,2024-03-14,Dr. Smith,NA,8.1,7.9,78.7,New Protein,2.0336283455734026,Fast
DOG-167,Dog,Poodle,67,20.6,B,B2024-012,2024-10-11,Dr. Chen,NA,6.5,15.9,89.2,New Protein,0.6387969113600881,Medium
CAT-040,Cat,Maine Coon,96,5,A,B2024-013,2024-06-15,Dr. Chen,NA,7,21.6,36.8,Control,-0.7471502462021864,Medium
DOG-103,Dog,Beagle,81,25.8,B,B2024-010,2024-07-23,Dr. Chen,NA,9.6,6.5,109.3,New Protein,1.1007792972141794,Fast
CAT-049,Cat,Siamese,76,6.2,A,B2024-007,2024-01-04,Dr. Okafor,NA,7.1,3.3,69.9,Control,-0.6405389263897038,Fast
CAT-152,Cat,Maine Coon,36,6.4,B,B2024-014,2024-04-09,Dr. Patel,NA,6.1,15.4,37.6,New Protein,-0.6227703730876233,Medium
DOG-035,Dog,Golden Retriever,120,18.2,C,B2024-003,2024-03-23,Dr. Okafor,NA,9.3,9.7,90.8,New Flavour Coating,0.42557427173512263,Fast
CAT-138,Cat,Siamese,101,6.7,C,B2024-011,2024-03-23,Dr. Smith,NA,6.2,21.3,61.5,New Flavour Coating,-0.5961175431345026,Medium
DOG-135,Dog,German Shepherd,106,8.1,B,B2024-001,2024-02-11,Dr. Okafor,NA,5.8,13.5,49.7,New Protein,-0.4717376700199396,Medium
CAT-227,Cat,Ragdoll,90,4.1,C,B2024-005,2024-07-05,Dr. Chen,NA,6.2,9.1,77.3,New Flavour Coating,-0.8271087360615484,Fast
CAT-193,Cat,Siamese,70,3.6,C,B2024-009,2024-05-04,Dr. Chen,NA,8.7,11.2,73.2,New Flavour Coating,-0.8715301193167495,Medium
DOG-194,Dog,Poodle,108,24,B,B2024-004,2024-07-22,Dr. Patel,NA,6.9,11.6,60.7,New Protein,0.9408623174954555,Medium
DOG-007,Dog,Golden Retriever,50,14,B,B2024-005,NA,Dr. Chen,NA,8.3,9.7,75.7,New Protein,0.05243465239143343,Fast
DOG-116,Dog,Labrador,25,11.4,A,B2024-010,2024-12-05,Dr. Smith,NA,5.4,14.6,58.9,Control,-0.17855654053561226,Medium
DOG-163,Dog,Beagle,66,NA,B,B2024-010,2024-08-18,Dr. Patel,NA,5.8,16.3,71,New Protein,NA,Medium
CAT-203,Cat,British Shorthair,119,NA,A,B2024-003,2024-01-09,Dr. Smith,NA,5.4,15.8,47.3,Control,NA,Medium
CAT-010,Cat,Ragdoll,116,5.2,B,B2024-015,2024-08-20,Dr. Smith,NA,7.7,9.9,69.9,New Protein,-0.729381692900106,Fast
DOG-217,Dog,Golden Retriever,58,16.6,A,B2024-002,2024-07-07,Dr. Okafor,NA,9.2,8.1,96,Control,0.2834258453184793,Fast
CAT-002,Cat,Maine Coon,58,3.7,B,B2024-004,2024-10-07,Dr. Chen,NA,7.2,17,63.3,New Protein,-0.8626458426657093,Medium
CAT-224,Cat,Maine Coon,56,3.2,C,B2024-004,2024-01-13,Dr. Chen,NA,10,3.9,83.1,New Flavour Coating,-0.9070672259209105,Fast
DOG-016,Dog,Beagle,36,16.6,C,B2024-015,2024-08-20,Dr. Patel,NA,8,4.6,82.4,New Flavour Coating,0.2834258453184793,Fast
CAT-148,Cat,Siamese,39,6.5,C,B2024-005,2024-04-23,Dr. Smith,NA,8.4,5.4,60.5,New Flavour Coating,-0.6138860964365831,Fast
CAT-214,Cat,Ragdoll,87,3,C,B2024-006,2024-05-31,Dr. Okafor,NA,7.8,14.7,60.6,New Flavour Coating,-0.9248357792229909,Medium
DOG-101,Dog,Labrador,15,37.1,C,B2024-014,2024-12-28,Dr. Okafor,NA,10,11.5,112.7,New Flavour Coating,2.1047025587817245,Medium
CAT-054,Cat,British Shorthair,41,4,B,B2024-006,2024-02-12,Dr. Patel,Container seal was compromised,7.4,6.9,79.8,New Protein,-0.8359930127125886,Fast
CAT-038,Cat,Maine Coon,6,3.7,B,B2024-009,2024-01-18,Dr. Smith,NA,6.5,7.2,46.4,New Protein,-0.8626458426657093,Fast
CAT-198,Cat,Siamese,73,5.5,A,B2024-011,2024-12-10,Dr. Okafor,NA,4.4,13,18.3,Control,-0.7027288629469853,Medium
CAT-063,Cat,Maine Coon,66,3.1,A,B2024-006,2024-06-06,Dr. Patel,NA,6.2,13.3,60.9,Control,-0.9159515025719507,Medium
DOG-095,Dog,Labrador,19,8.9,C,B2024-003,2024-09-08,Dr. Chen,NA,9.2,5.3,111.3,New Flavour Coating,-0.4006634568116178,Fast
DOG-181,Dog,Labrador,79,19.6,B,B2024-009,2024-12-12,Dr. Smith,NA,8.5,5.4,78.2,New Protein,0.5499541448496859,Fast
DOG-153,Dog,Poodle,32,10.7,B,B2024-008,2024-04-22,Dr. Okafor,Technician noted unusual batch texture,8.8,5.5,93.2,New Protein,-0.2407464770928939,Fast
DOG-123,Dog,German Shepherd,32,16.4,A,B2024-004,2024-01-03,Dr. Smith,NA,6.8,13.3,59.4,Control,0.2656572920163986,Medium
DOG-108,Dog,Labrador,72,4,C,B2024-003,2024-04-28,Dr. Patel,NA,10,2,82.4,New Flavour Coating,-0.8359930127125886,Fast
DOG-256,Dog,Labrador,42,5.6,A,B2024-006,2024-01-19,Dr. Smith,NA,6.8,10,72.9,Control,-0.6938445862959451,Fast
CAT-065,Cat,British Shorthair,46,3.6,B,B2024-010,2024-05-30,Dr. Okafor,NA,7.6,14.6,57.8,New Protein,-0.8715301193167495,Medium
DOG-083,Dog,Beagle,111,3.8,A,B2024-014,2024-08-28,Dr. Patel,NA,6.8,12.4,76.4,Control,-0.853761566014669,Medium
CAT-190,Cat,Ragdoll,92,5.2,C,B2024-013,2024-11-29,Dr. Smith,NA,10,7.3,71.8,New Flavour Coating,-0.729381692900106,Fast
DOG-102,Dog,Golden Retriever,54,21.5,B,B2024-007,2024-10-19,Dr. Okafor,Unusual hesitation before eating,5.2,17.6,42.9,New Protein,0.7187554012194499,Medium
DOG-053,Dog,Golden Retriever,87,3.3,C,B2024-014,2024-11-20,Dr. Patel,NA,7.3,16.7,79.8,New Flavour Coating,-0.8981829492698701,Medium
DOG-242,Dog,Labrador,40,14.5,C,B2024-015,2024-08-20,Dr. Patel,NA,8,10.6,82.6,New Flavour Coating,0.09685603564663453,Medium
CAT-209,Cat,Ragdoll,24,5,A,B2024-007,2024-09-06,Dr. Smith,NA,6.5,9.9,56.4,Control,-0.7471502462021864,Fast
CAT-149,Cat,Maine Coon,59,5.6,B,B2024-011,2024-12-28,Dr. Smith,NA,8.8,17.4,72.7,New Protein,-0.6938445862959451,Medium
DOG-021,Dog,Poodle,35,38.5,A,B2024-009,2024-02-25,Dr. Smith,NA,3.6,20.9,57.6,Control,2.2290824318962876,Medium
DOG-126,Dog,Labrador,8,12.8,C,B2024-009,2024-10-17,Dr. Okafor,NA,8.7,6.6,81.6,New Flavour Coating,-0.05417666742104915,Fast
DOG-043,Dog,Labrador,84,9.8,A,B2024-015,2024-08-24,Dr. Chen,NA,7.4,2.7,69.8,Control,-0.32070496695225575,Fast
DOG-261,Dog,Golden Retriever,80,19.5,B,B2024-008,2024-01-04,Dr. Patel,NA,6.8,16.3,78.7,New Protein,0.5410698681986456,Medium
DOG-178,Dog,Poodle,13,33.7,B,B2024-006,2024-07-21,Dr. Smith,NA,6.6,13.5,78.7,New Protein,1.8026371526463572,Medium
DOG-019,Dog,Beagle,44,25.3,A,B2024-006,2024-08-16,Dr. Okafor,NA,8.8,15.8,97.1,Control,1.0563579139589785,Medium
CAT-175,Cat,Ragdoll,79,3.1,C,B2024-001,2024-09-15,Dr. Smith,NA,7.1,18.9,87.7,New Flavour Coating,-0.9159515025719507,Medium
CAT-141,Cat,Bengal,77,3.7,A,B2024-011,2024-01-03,Dr. Chen,NA,3.2,17.5,34.6,Control,-0.8626458426657093,Medium
DOG-085,Dog,Poodle,120,13.2,B,B2024-007,2024-01-31,Dr. Patel,NA,8.7,4.9,81.7,New Protein,-0.018639560816888397,Fast
DOG-084,Dog,Poodle,108,25,B,B2024-013,2024-07-20,Dr. Chen,Technician noted unusual batch texture,6.1,21.8,70,New Protein,1.0297050840058577,Medium
DOG-122,Dog,Golden Retriever,14,3.5,C,B2024-011,2024-04-23,Dr. Chen,NA,8.5,6.9,78.5,New Flavour Coating,-0.8804143959677897,Fast
DOG-188,Dog,Labrador,21,29.2,C,B2024-010,2024-07-26,Dr. Patel,NA,8.6,6.2,86.1,New Flavour Coating,1.4028447033495468,Fast
DOG-266,Dog,German Shepherd,20,NA,A,B2024-012,2024-03-30,Dr. Patel,NA,5.3,19.6,46.4,Control,NA,Medium
DOG-232,Dog,Labrador,116,5.7,A,B2024-010,2024-02-09,Dr. Patel,NA,6.7,18.8,76.2,Control,-0.6849603096449048,Medium
DOG-017,Dog,Labrador,37,19.3,C,B2024-012,2024-07-08,Dr. Okafor,Container seal was compromised,6.6,12.6,67.2,New Flavour Coating,0.5233013148965652,Medium
CAT-220,Cat,British Shorthair,97,4.8,A,B2024-006,2024-05-21,Dr. Smith,NA,6,17.2,41,Control,-0.7649187995042668,Medium
CAT-051,Cat,Siamese,29,3.6,B,B2024-009,NA,Dr. Smith,NA,7.7,11.2,72,New Protein,-0.8715301193167495,Medium
CAT-127,Cat,Maine Coon,105,6,A,B2024-005,2024-12-19,Dr. Chen,NA,5.7,18.1,43.1,Control,-0.6583074796917843,Medium
DOG-185,Dog,Golden Retriever,29,36.8,A,B2024-008,2024-10-08,Dr. Okafor,NA,5.4,6.5,67,Control,2.0780497288286033,Fast
CAT-182,Cat,British Shorthair,100,6.6,C,B2024-010,2024-10-10,Dr. Patel,NA,8.1,9.1,86.7,New Flavour Coating,-0.6050018197855429,Fast
CAT-131,Cat,Bengal,51,4.1,B,B2024-015,2024-12-31,Dr. Chen,NA,9.6,5.2,81.1,New Protein,-0.8271087360615484,Fast
CAT-128,Cat,Bengal,28,6.2,C,B2024-011,2024-06-10,Dr. Okafor,NA,7.2,2.8,70.4,New Flavour Coating,-0.6405389263897038,Fast
CAT-174,Cat,Bengal,19,5.7,C,B2024-012,2024-03-30,Dr. Patel,NA,6.6,14.6,78.4,New Flavour Coating,-0.6849603096449048,Medium
DOG-238,Dog,German Shepherd,19,23.6,B,B2024-015,2024-10-01,Dr. Chen,NA,7.2,17.3,78.7,New Protein,0.9053252108912947,Medium
CAT-180,Cat,Bengal,109,5,A,B2024-011,2024-01-13,Dr. Patel,NA,3.8,20.8,52.1,Control,-0.7471502462021864,Medium
DOG-161,Dog,German Shepherd,107,35.2,C,B2024-002,2024-01-08,Dr. Okafor,NA,5.3,10.9,74.5,New Flavour Coating,1.9359013024119605,Medium
CAT-169,Cat,Ragdoll,33,3.6,C,B2024-006,2024-03-13,Dr. Patel,NA,9.2,8.4,64.9,New Flavour Coating,-0.8715301193167495,Fast
CAT-143,Cat,Bengal,118,6,B,B2024-011,2024-10-29,Dr. Smith,NA,7.4,7.6,63.3,New Protein,-0.6583074796917843,Fast
CAT-026,Cat,Maine Coon,56,4,A,B2024-007,2024-05-24,Dr. Okafor,NA,4.8,15,54,Control,-0.8359930127125886,Medium
DOG-129,Dog,Golden Retriever,23,3.1,C,B2024-008,2024-09-22,Dr. Smith,NA,6,15.9,60.3,New Flavour Coating,-0.9159515025719507,Medium
DOG-014,Dog,Golden Retriever,113,14.6,C,B2024-001,2024-11-26,Dr. Okafor,NA,8.2,4.8,68.2,New Flavour Coating,0.10574031229767472,Fast
DOG-211,Dog,Labrador,47,39.3,B,B2024-005,2024-06-05,Dr. Patel,NA,7.5,12.6,67,New Protein,2.300156645104609,Medium
DOG-110,Dog,Labrador,58,11.9,C,B2024-009,2024-11-24,Dr. Patel,NA,8.8,7.3,91.2,New Flavour Coating,-0.13413515728041117,Fast
DOG-265,Dog,Poodle,91,9.8,C,B2024-015,2024-07-23,Dr. Chen,NA,10,3.9,93.7,New Flavour Coating,-0.32070496695225575,Fast
DOG-029,Dog,Labrador,89,34.8,A,B2024-011,2024-01-11,Dr. Smith,NA,9.7,3.3,107.5,Control,1.900364195807799,Fast
CAT-056,Cat,Maine Coon,19,5.7,C,B2024-005,2024-06-06,Dr. Okafor,NA,8.7,11.8,69.5,New Flavour Coating,-0.6849603096449048,Medium
DOG-078,Dog,German Shepherd,24,NA,B,B2024-005,2024-12-16,Dr. Okafor,NA,7.5,7.3,67.7,New Protein,NA,Fast
CAT-188,Cat,Bengal,52,5.9,C,B2024-011,2024-11-23,Dr. Chen,NA,7.8,16.5,63.7,New Flavour Coating,-0.6671917563428245,Medium
CAT-004,Cat,Maine Coon,71,7,B,B2024-002,2024-07-07,Dr. Smith,NA,4.8,19.8,40,New Protein,-0.569464713181382,Medium
CAT-016,Cat,Bengal,16,5.2,A,B2024-011,2024-05-26,Dr. Smith,NA,6.2,11.8,52.1,Control,-0.729381692900106,Medium
DOG-193,Dog,German Shepherd,26,3.4,B,B2024-010,2024-08-16,Dr. Chen,NA,5.2,20.1,73,New Protein,-0.8892986726188299,Medium
DOG-154,Dog,Beagle,103,14.8,A,B2024-011,2024-02-20,Dr. Patel,NA,7.3,13.8,77.2,Control,0.12350886559975525,Medium
CAT-052,Cat,British Shorthair,35,4.2,A,B2024-002,2024-11-21,Dr. Okafor,NA,6.2,13.1,78.3,Control,-0.8182244594105083,Medium
CAT-032,Cat,Bengal,104,3.6,B,B2024-006,2024-12-31,Dr. Okafor,NA,7.3,15.3,57.5,New Protein,-0.8715301193167495,Medium
DOG-220,Dog,German Shepherd,31,21,C,B2024-011,2024-03-06,Dr. Okafor,NA,9.8,5.2,89,New Flavour Coating,0.6743340179642489,Fast
DOG-022,Dog,Poodle,59,NA,B,B2024-001,2024-12-29,Dr. Smith,NA,5.3,17.7,78.7,New Protein,NA,Medium
DOG-195,Dog,Labrador,72,NA,C,B2024-002,2024-10-12,Dr. Smith,NA,7.3,12.4,72.1,New Flavour Coating,NA,Medium
DOG-191,Dog,Poodle,61,4.4,B,B2024-011,2024-08-25,Dr. Okafor,NA,7.9,19.3,86,New Protein,-0.8004559061084278,Medium
CAT-061,Cat,Ragdoll,74,4.9,B,B2024-013,2024-07-27,Dr. Chen,NA,6.4,6.9,48,New Protein,-0.7560345228532266,Fast
DOG-263,Dog,Beagle,28,24.3,C,B2024-001,2024-10-10,Dr. Smith,NA,8.6,12.9,90.9,New Flavour Coating,0.9675151474485763,Medium
DOG-092,Dog,Labrador,11,10.1,A,B2024-003,2024-03-20,Dr. Smith,NA,4.6,15.8,68.3,Control,-0.2940521369991352,Medium
DOG-028,Dog,Golden Retriever,98,26.5,B,B2024-001,2024-10-29,Dr. Smith,NA,8.8,9.2,94.4,New Protein,1.162969233771461,Fast
DOG-162,Dog,German Shepherd,28,3.7,C,B2024-005,2024-01-09,Dr. Patel,NA,8.8,6.7,114.9,New Flavour Coating,-0.8626458426657093,Fast
DOG-027,Dog,Beagle,116,27.9,C,B2024-003,2024-06-15,Dr. Chen,NA,8,7.1,81.5,New Flavour Coating,1.2873491068860239,Fast
DOG-268,Dog,German Shepherd,65,29.4,A,B2024-014,2024-09-22,Dr. Chen,NA,7.9,15.9,94.3,Control,1.4206132566516272,Medium
DOG-231,Dog,Golden Retriever,87,22,A,B2024-014,2024-07-03,Dr. Chen,NA,7.1,5.4,78.1,Control,0.7631767844746511,Fast
CAT-216,Cat,British Shorthair,74,6.1,C,B2024-006,2024-07-31,Dr. Okafor,NA,7.8,11.4,66.8,New Flavour Coating,-0.6494232030407441,Medium
DOG-052,Dog,Golden Retriever,22,8.2,C,B2024-001,2024-06-11,Dr. Patel,NA,7.1,10.5,70,New Flavour Coating,-0.4628533933688994,Medium
DOG-088,Dog,Poodle,43,33.5,B,B2024-014,2024-01-04,Dr. Chen,NA,9.6,7,114.6,New Protein,1.7848685993442766,Fast
CAT-204,Cat,Maine Coon,20,4.9,B,B2024-009,2024-01-29,Dr. Smith,NA,6.3,14.4,48,New Protein,-0.7560345228532266,Medium
CAT-033,Cat,Bengal,103,6.6,A,B2024-012,2024-05-06,Dr. Patel,NA,7.2,12.8,51.2,Control,-0.6050018197855429,Medium
DOG-112,Dog,Labrador,64,17,B,B2024-001,2024-05-17,Dr. Chen,NA,6.3,12.2,73.2,New Protein,0.31896295192264007,Medium
CAT-094,Cat,Bengal,33,NA,B,B2024-013,2024-11-07,Dr. Chen,NA,8.1,5.2,64.2,New Protein,NA,Fast
DOG-046,Dog,Golden Retriever,27,23.5,C,B2024-008,2024-08-29,Dr. Smith,NA,7.9,2.3,89.2,New Flavour Coating,0.8964409342402544,Fast
DOG-227,Dog,Golden Retriever,46,15.3,C,B2024-001,2024-01-01,Dr. Smith,NA,9,9.2,107.3,New Flavour Coating,0.16793024885495636,Fast
CAT-196,Cat,Ragdoll,36,3.4,A,B2024-005,2024-03-03,Dr. Okafor,NA,5.7,18.3,35.8,Control,-0.8892986726188299,Medium
DOG-124,Dog,German Shepherd,51,24.6,A,B2024-005,2024-10-29,Dr. Okafor,NA,5.4,17,68.9,Control,0.9941679774016969,Medium
DOG-069,Dog,German Shepherd,94,38.2,A,B2024-009,2024-05-09,Dr. Okafor,NA,5.7,19.4,65.2,Control,2.2024296019431673,Medium
CAT-223,Cat,Siamese,38,6,C,B2024-006,2024-12-05,Dr. Okafor,NA,7.8,8.7,65.6,New Flavour Coating,-0.6583074796917843,Fast
DOG-222,Dog,Labrador,67,36.5,B,B2024-010,2024-01-13,Dr. Chen,NA,6.9,7.9,71.8,New Protein,2.051396898875483,Fast
DOG-219,Dog,German Shepherd,48,19.6,A,B2024-015,2024-08-24,Dr. Okafor,NA,7.3,5,100.9,Control,0.5499541448496859,Fast
CAT-186,Cat,Bengal,39,6.2,B,B2024-013,2024-07-19,Dr. Okafor,NA,7.6,13.8,62.3,New Protein,-0.6405389263897038,Medium
DOG-070,Dog,Poodle,95,26.1,A,B2024-011,2024-05-04,Dr. Okafor,NA,8.6,11.6,97.2,Control,1.1274321271673002,Medium
CAT-194,Cat,Bengal,17,4.8,C,B2024-002,2024-03-13,Dr. Chen,NA,10,2,78.6,New Flavour Coating,-0.7649187995042668,Fast
DOG-155,Dog,German Shepherd,85,34.6,B,B2024-014,2024-10-05,Dr. Smith,NA,8,5.6,81.5,New Protein,1.882595642505719,Fast
CAT-135,Cat,Ragdoll,62,4.7,C,B2024-009,2024-07-18,Dr. Patel,NA,7.9,9.5,49.9,New Flavour Coating,-0.7738030761553072,Fast
DOG-254,Dog,Beagle,77,5.8,B,B2024-012,2024-02-06,Dr. Smith,NA,9.2,2,97.9,New Protein,-0.6760760329938647,Fast
DOG-210,Dog,Labrador,104,32.3,C,B2024-002,2024-12-20,Dr. Patel,NA,8.7,6.5,97.7,New Flavour Coating,1.6782572795317936,Fast
CAT-015,Cat,Ragdoll,69,5.9,B,B2024-004,2024-06-14,Dr. Okafor,NA,6.8,14,63.3,New Protein,-0.6671917563428245,Medium
DOG-109,Dog,Poodle,64,23,A,B2024-008,2024-11-15,Dr. Chen,NA,6.8,6.3,82.9,Control,0.8520195509850533,Fast
CAT-124,Cat,Siamese,106,3.9,B,B2024-005,2024-08-22,Dr. Smith,NA,5.9,16.2,63.3,New Protein,-0.8448772893636288,Medium
CAT-029,Cat,Maine Coon,70,5.4,C,B2024-010,2024-02-11,Dr. Okafor,NA,7.1,16.6,71.7,New Flavour Coating,-0.7116131395980255,Medium
DOG-087,Dog,German Shepherd,7,8.4,C,B2024-004,2024-07-27,Dr. Chen,NA,10,8.1,98,New Flavour Coating,-0.44508484006681887,Fast
DOG-002,Dog,Poodle,83,17.3,A,B2024-010,2024-01-06,Dr. Chen,NA,6.2,20.6,50.5,Control,0.34561578187576075,Medium
CAT-221,Cat,Maine Coon,77,5.1,A,B2024-014,2024-07-19,Dr. Okafor,NA,5.6,17.5,58.9,Control,-0.7382659695511462,Medium
DOG-067,Dog,Poodle,63,36.3,C,B2024-014,2024-04-21,Dr. Smith,NA,8.9,9.1,83.4,New Flavour Coating,2.0336283455734026,Fast
DOG-251,Dog,Golden Retriever,114,NA,B,B2024-012,2024-02-01,Dr. Smith,NA,7.3,12.4,67,New Protein,NA,Medium
CAT-165,Cat,Maine Coon,58,3.2,A,B2024-003,2024-07-10,Dr. Okafor,NA,6.3,12.4,49.6,Control,-0.9070672259209105,Medium
DOG-131,Dog,German Shepherd,102,32.9,A,B2024-003,2024-03-03,Dr. Smith,NA,6.1,18.8,61.9,Control,1.731562939438035,Medium
DOG-037,Dog,German Shepherd,87,31.8,A,B2024-007,2024-04-28,Dr. Patel,NA,7.4,7.5,75.2,Control,1.6338358962765926,Fast
DOG-115,Dog,Labrador,67,38.6,A,B2024-010,2024-05-27,Dr. Patel,NA,7.7,10.3,83.2,Control,2.2379667085473276,Medium
DOG-201,Dog,Labrador,34,NA,B,B2024-003,2024-02-06,Dr. Okafor,NA,7.5,11.4,80.2,New Protein,NA,Medium
DOG-166,Dog,Labrador,18,7.4,B,B2024-002,2024-09-19,Dr. Smith,NA,9,9.5,91.7,New Protein,-0.533927606577221,Fast
DOG-125,Dog,Golden Retriever,51,25.4,B,B2024-001,2024-05-19,Dr. Smith,NA,6.3,19.6,72.2,New Protein,1.0652421906100185,Medium
DOG-073,Dog,Golden Retriever,38,5.4,C,B2024-002,2024-09-13,Dr. Patel,NA,7.2,14.3,58.9,New Flavour Coating,-0.7116131395980255,Medium
CAT-115,Cat,Bengal,104,6.1,A,B2024-015,2024-01-10,Dr. Okafor,NA,7,17,59.8,Control,-0.6494232030407441,Medium
CAT-085,Cat,Bengal,7,4.8,A,B2024-006,2024-02-29,Dr. Chen,NA,3.8,24.2,28.6,Control,-0.7649187995042668,Medium
CAT-034,Cat,British Shorthair,85,5.8,A,B2024-012,2024-10-19,Dr. Okafor,NA,7.9,2,44.9,Control,-0.6760760329938647,Fast
CAT-097,Cat,Ragdoll,77,4.8,A,B2024-014,2024-05-21,Dr. Smith,NA,6.7,20.1,52.1,Control,-0.7649187995042668,Medium
DOG-097,Dog,Poodle,111,11.3,A,B2024-009,2024-10-03,Dr. Smith,NA,6.5,16.4,83,Control,-0.18744081718665245,Medium
CAT-066,Cat,Ragdoll,32,6.8,C,B2024-007,2024-03-21,Dr. Smith,NA,8.7,9.1,63.6,New Flavour Coating,-0.5872332664834624,Fast
CAT-166,Cat,Maine Coon,57,4.6,C,B2024-006,2024-11-20,Dr. Smith,NA,7.8,18.8,43.7,New Flavour Coating,-0.7826873528063474,Medium
DOG-133,Dog,Poodle,89,24,C,B2024-001,2024-04-11,Dr. Chen,NA,8.7,14.4,97,New Flavour Coating,0.9408623174954555,Medium
DOG-049,Dog,Beagle,47,37.9,C,B2024-006,2024-04-16,Dr. Okafor,NA,9.9,5.4,96.1,New Flavour Coating,2.175776771990046,Fast
CAT-022,Cat,British Shorthair,30,4.5,A,B2024-008,2024-03-07,Dr. Patel,NA,5.5,18.7,39.5,Control,-0.7915716294573876,Medium
CAT-184,Cat,Bengal,38,5.5,A,B2024-015,2024-04-21,Dr. Patel,NA,7.6,10.7,52.1,Control,-0.7027288629469853,Medium
DOG-243,Dog,Beagle,33,30.3,C,B2024-010,2024-05-01,Dr. Chen,NA,9.9,5.7,99.2,New Flavour Coating,1.5005717465109893,Fast
DOG-233,Dog,Golden Retriever,90,15.8,B,B2024-008,2024-01-25,Dr. Smith,NA,7.5,9.1,77.2,New Protein,0.21235163211015745,Fast
