pet_id,species,breed,age_months,weight_kg,formula,batch_id,trial_date,lab_technician,notes,palatability_score,time_to_first_bite,consumed_amount_grams,row_number
CAT-198,Cat,Siamese,73,5.5,A,B2024-011,2024-12-10,Dr. Okafor,,4.4,13,18.3,231
CAT-063,Cat,Maine Coon,66,3.1,A,B2024-006,2024-06-06,Dr. Patel,,6.2,13.3,60.9,232
DOG-095,Dog,Labrador,19,8.9,C,B2024-003,2024-09-08,Dr. Chen,,9.2,5.3,111.3,233
DOG-189,Dog,Beagle,120,28.6,A,B2024-010,2024-08-02,Dr. Okafor,,6.8,14.1,92.9,234
DOG-181,Dog,Labrador,79,19.6,B,B2024-009,2024-12-12,Dr. Smith,,8.5,5.4,78.2,235
DOG-153,Dog,Poodle,32,10.7,B,B2024-008,2024-04-22,Dr. Okafor,Technician noted unusual batch texture,8.8,5.5,93.2,236
DOG-123,Dog,German Shepherd,32,16.4,A,B2024-004,2024-01-03,Dr. Smith,,6.8,13.3,59.4,237
DOG-108,Dog,Labrador,72,4,C,B2024-003,2024-04-28,Dr. Patel,,10,2,NA,238
DOG-256,Dog,Labrador,42,5.6,A,B2024-006,2024-01-19,Dr. Smith,,6.8,10,72.9,239
CAT-065,Cat,British Shorthair,46,3.6,B,B2024-010,2024-05-30,Dr. Okafor,,7.6,14.6,57.8,240
DOG-083,Dog,Beagle,111,3.8,A,B2024-014,2024-08-28,Dr. Patel,,6.8,12.4,NA,241
CAT-190,Cat,Ragdoll,92,5.2,C,B2024-013,2024-11-29,Dr. Smith,,10,7.3,71.8,242
DOG-102,Dog,Golden Retriever,54,21.5,B,B2024-007,2024-10-19,Dr. Okafor,Unusual hesitation before eating,5.2,17.6,42.9,243
DOG-053,Dog,Golden Retriever,87,3.3,C,B2024-014,2024-11-20,Dr. Patel,NA,7.3,16.7,79.8,244
DOG-242,Dog,Labrador,40,14.5,C,B2024-015,2024-08-20,Dr. Patel,,8,10.6,82.6,245
CAT-209,Cat,Ragdoll,24,5,A,B2024-007,2024-09-06,Dr. Smith,,6.5,9.9,56.4,246
CAT-149,Cat,Maine Coon,59,5.6,B,B2024-011,2024-12-28,Dr. Smith,,8.8,17.4,72.7,247
DOG-021,Dog,Poodle,35,38.5,A,B2024-009,2024-02-25,Dr. Smith,,3.6,20.9,57.6,248
DOG-126,Dog,Labrador,8,12.8,C,B2024-009,2024-10-17,Dr. Okafor,,8.7,6.6,81.6,249
DOG-043,Dog,Labrador,84,9.8,A,B2024-015,2024-08-24,Dr. Chen,,7.4,2.7,69.8,250
DOG-261,Dog,Golden Retriever,80,19.5,B,B2024-008,2024-01-04,Dr. Patel,,6.8,16.3,NA,251
DOG-178,Dog,Poodle,13,33.7,B,B2024-006,2024-07-21,Dr. Smith,NA,6.6,13.5,NA,252
DOG-019,Dog,Beagle,44,25.3,A,B2024-006,2024-08-16,Dr. Okafor,,8.8,15.8,97.1,253
CAT-175,Cat,Ragdoll,79,3.1,C,B2024-001,2024-09-15,Dr. Smith,,7.1,18.9,87.7,254
CAT-141,Cat,Bengal,77,3.7,A,B2024-011,2024-01-03,Dr. Chen,,3.2,17.5,34.6,255
DOG-085,Dog,Poodle,120,13.2,B,B2024-007,2024-01-31,Dr. Patel,,8.7,4.9,81.7,256
DOG-084,Dog,Poodle,108,25,B,B2024-013,2024-07-20,Dr. Chen,Technician noted unusual batch texture,6.1,21.8,70,257
DOG-122,Dog,Golden Retriever,14,3.5,C,B2024-011,2024-04-23,Dr. Chen,,8.5,6.9,78.5,258
DOG-188,Dog,Labrador,21,29.2,C,B2024-010,2024-07-26,Dr. Patel,,8.6,6.2,86.1,259
DOG-266,Dog,German Shepherd,20,NA,A,B2024-012,2024-03-30,Dr. Patel,,5.3,19.6,46.4,260
DOG-232,Dog,Labrador,116,5.7,A,B2024-010,2024-02-09,Dr. Patel,,6.7,18.8,76.2,261
DOG-017,Dog,Labrador,37,19.3,C,B2024-012,2024-07-08,Dr. Okafor,Container seal was compromised,6.6,12.6,67.2,262
CAT-220,Cat,British Shorthair,97,4.8,A,B2024-006,2024-05-21,Dr. Smith,,6,17.2,41,263
CAT-051,Cat,Siamese,29,3.6,B,B2024-009,NA,Dr. Smith,,7.7,11.2,72,264
CAT-127,Cat,Maine Coon,105,6,A,B2024-005,2024-12-19,Dr. Chen,NA,5.7,18.1,43.1,265
DOG-185,Dog,Golden Retriever,29,36.8,A,B2024-008,2024-10-08,Dr. Okafor,,5.4,6.5,67,266
CAT-182,Cat,British Shorthair,100,6.6,C,B2024-010,2024-10-10,Dr. Patel,,8.1,9.1,86.7,267
CAT-131,Cat,Bengal,51,4.1,B,B2024-015,2024-12-31,Dr. Chen,,9.6,5.2,81.1,268
CAT-128,Cat,Bengal,28,6.2,C,B2024-011,2024-06-10,Dr. Okafor,NA,7.2,2.8,70.4,269
CAT-174,Cat,Bengal,19,5.7,C,B2024-012,2024-03-30,Dr. Patel,,6.6,14.6,78.4,270
DOG-238,Dog,German Shepherd,19,23.6,B,B2024-015,2024-10-01,Dr. Chen,,7.2,17.3,NA,271
CAT-180,Cat,Bengal,109,5,A,B2024-011,2024-01-13,Dr. Patel,,3.8,20.8,NA,272
DOG-161,Dog,German Shepherd,107,35.2,C,B2024-002,2024-01-08,Dr. Okafor,,5.3,10.9,74.5,273
CAT-169,Cat,Ragdoll,33,3.6,C,B2024-006,2024-03-13,Dr. Patel,,9.2,8.4,64.9,274
CAT-143,Cat,Bengal,118,6,B,B2024-011,2024-10-29,Dr. Smith,,7.4,7.6,NA,275
CAT-026,Cat,Maine Coon,56,4,A,B2024-007,2024-05-24,Dr. Okafor,NA,4.8,15,54,276
CAT-008,Cat,Bengal,117,5,A,B2024-012,2024-01-05,Dr. Okafor,,NA,16.5,65.5,277
DOG-129,Dog,Golden Retriever,23,3.1,C,B2024-008,2024-09-22,Dr. Smith,,6,15.9,60.3,278
DOG-014,Dog,Golden Retriever,113,14.6,C,B2024-001,2024-11-26,Dr. Okafor,,8.2,4.8,68.2,279
DOG-211,Dog,Labrador,47,39.3,B,B2024-005,2024-06-05,Dr. Patel,,NA,12.6,67,280
DOG-110,Dog,Labrador,58,11.9,C,B2024-009,2024-11-24,Dr. Patel,,8.8,7.3,91.2,281
DOG-265,Dog,Poodle,91,9.8,C,B2024-015,2024-07-23,Dr. Chen,,10,3.9,93.7,282
DOG-029,Dog,Labrador,89,34.8,A,B2024-011,2024-01-11,Dr. Smith,,9.7,3.3,107.5,283
CAT-056,Cat,Maine Coon,19,5.7,C,B2024-005,2024-06-06,Dr. Okafor,,8.7,11.8,69.5,284
DOG-078,Dog,German Shepherd,24,NA,B,B2024-005,2024-12-16,Dr. Okafor,,7.5,7.3,67.7,285
CAT-188,Cat,Bengal,52,5.9,C,B2024-011,2024-11-23,Dr. Chen,NA,NA,16.5,63.7,286
CAT-004,Cat,Maine Coon,71,7,B,B2024-002,2024-07-07,Dr. Smith,NA,4.8,19.8,40,287
CAT-016,Cat,Bengal,16,5.2,A,B2024-011,2024-05-26,Dr. Smith,,NA,11.8,NA,288
DOG-193,Dog,German Shepherd,26,3.4,B,B2024-010,2024-08-16,Dr. Chen,,5.2,20.1,73,289
DOG-154,Dog,Beagle,103,14.8,A,B2024-011,2024-02-20,Dr. Patel,NA,7.3,13.8,77.2,290
CAT-052,Cat,British Shorthair,35,4.2,A,B2024-002,2024-11-21,Dr. Okafor,NA,6.2,13.1,78.3,291
CAT-999,Cat,Siamese,36,4.5,C,B2024-012,2024-09-20,Dr. Chen,Pet refused all food,0,60,5,292
CAT-032,Cat,Bengal,104,3.6,B,B2024-006,2024-12-31,Dr. Okafor,,7.3,15.3,57.5,293
DOG-220,Dog,German Shepherd,31,21,C,B2024-011,2024-03-06,Dr. Okafor,,9.8,5.2,89,294
DOG-022,Dog,Poodle,59,NA,B,B2024-001,2024-12-29,Dr. Smith,,5.3,17.7,NA,295
DOG-195,Dog,Labrador,72,NA,C,B2024-002,2024-10-12,Dr. Smith,NA,7.3,12.4,72.1,296
DOG-191,Dog,Poodle,61,4.4,B,B2024-011,2024-08-25,Dr. Okafor,,7.9,19.3,86,297
CAT-061,Cat,Ragdoll,74,4.9,B,B2024-013,2024-07-27,Dr. Chen,,6.4,6.9,48,298
DOG-263,Dog,Beagle,28,24.3,C,B2024-001,2024-10-10,Dr. Smith,,8.6,12.9,90.9,299
DOG-092,Dog,Labrador,11,10.1,A,B2024-003,2024-03-20,Dr. Smith,,4.6,15.8,68.3,300
DOG-028,Dog,Golden Retriever,98,26.5,B,B2024-001,2024-10-29,Dr. Smith,,8.8,9.2,94.4,301
DOG-162,Dog,German Shepherd,28,3.7,C,B2024-005,2024-01-09,Dr. Patel,,8.8,6.7,114.9,302
DOG-027,Dog,Beagle,116,27.9,C,B2024-003,2024-06-15,Dr. Chen,,8,7.1,81.5,303
DOG-268,Dog,German Shepherd,65,29.4,A,B2024-014,2024-09-22,Dr. Chen,,7.9,15.9,94.3,304
DOG-231,Dog,Golden Retriever,87,22,A,B2024-014,2024-07-03,Dr. Chen,,7.1,5.4,78.1,305
CAT-216,Cat,British Shorthair,74,6.1,C,B2024-006,2024-07-31,Dr. Okafor,,NA,11.4,NA,306
DOG-052,Dog,Golden Retriever,22,8.2,C,B2024-001,2024-06-11,Dr. Patel,,7.1,10.5,70,307
DOG-088,Dog,Poodle,43,33.5,B,B2024-014,2024-01-04,Dr. Chen,,9.6,7,114.6,308
CAT-204,Cat,Maine Coon,20,4.9,B,B2024-009,2024-01-29,Dr. Smith,,6.3,14.4,48,309
CAT-033,Cat,Bengal,103,6.6,A,B2024-012,2024-05-06,Dr. Patel,,7.2,12.8,51.2,310
DOG-112,Dog,Labrador,64,17,B,B2024-001,2024-05-17,Dr. Chen,,6.3,12.2,73.2,311
CAT-094,Cat,Bengal,33,n/a,B,B2024-013,2024-11-07,Dr. Chen,,8.1,5.2,64.2,312
DOG-046,Dog,Golden Retriever,27,23.5,C,B2024-008,2024-08-29,Dr. Smith,,7.9,2.3,89.2,313
DOG-227,Dog,Golden Retriever,46,15.3,C,B2024-001,2024-01-01,Dr. Smith,,9,9.2,107.3,314
CAT-196,Cat,Ragdoll,36,3.4,A,B2024-005,2024-03-03,Dr. Okafor,,5.7,18.3,35.8,315
DOG-124,Dog,German Shepherd,51,24.6,A,B2024-005,2024-10-29,Dr. Okafor,,5.4,17,68.9,316
DOG-069,Dog,German Shepherd,94,38.2,A,B2024-009,2024-05-09,Dr. Okafor,,5.7,19.4,65.2,317
CAT-223,Cat,Siamese,38,6,C,B2024-006,2024-12-05,Dr. Okafor,NA,NA,8.7,65.6,318
DOG-222,Dog,Labrador,67,36.5,B,B2024-010,2024-01-13,Dr. Chen,,6.9,7.9,71.8,319
DOG-219,Dog,German Shepherd,48,19.6,A,B2024-015,2024-08-24,Dr. Okafor,N/A,7.3,5,100.9,320
CAT-186,Cat,Bengal,39,6.2,B,B2024-013,2024-07-19,Dr. Okafor,,7.6,13.8,62.3,321
DOG-070,Dog,Poodle,95,26.1,A,B2024-011,2024-05-04,Dr. Okafor,,8.6,11.6,97.2,322
CAT-194,Cat,Bengal,17,4.8,C,B2024-002,2024-03-13,Dr. Chen,,10,2,78.6,323
DOG-155,Dog,German Shepherd,85,34.6,B,B2024-014,2024-10-05,Dr. Smith,,8,5.6,81.5,324
CAT-135,Cat,Ragdoll,62,4.7,C,B2024-009,2024-07-18,Dr. Patel,,7.9,9.5,49.9,325
DOG-254,Dog,Beagle,77,5.8,B,B2024-012,2024-02-06,Dr. Smith,,9.2,2,97.9,326
DOG-210,Dog,Labrador,104,32.3,C,B2024-002,2024-12-20,Dr. Patel,,8.7,6.5,97.7,327
CAT-015,Cat,Ragdoll,69,5.9,B,B2024-004,2024-06-14,Dr. Okafor,,6.8,14,NA,328
DOG-109,Dog,Poodle,64,23,A,B2024-008,2024-11-15,Dr. Chen,,6.8,6.3,82.9,329
CAT-124,Cat,Siamese,106,3.9,B,B2024-005,2024-08-22,Dr. Smith,,5.9,16.2,NA,330
CAT-029,Cat,Maine Coon,70,5.4,C,B2024-010,2024-02-11,Dr. Okafor,NA,7.1,16.6,71.7,331
DOG-087,Dog,German Shepherd,7,8.4,C,B2024-004,2024-07-27,Dr. Chen,,10,8.1,98,332
DOG-002,Dog,Poodle,83,17.3,A,B2024-010,2024-01-06,Dr. Chen,NA,6.2,20.6,50.5,333
CAT-221,Cat,Maine Coon,77,5.1,A,B2024-014,2024-07-19,Dr. Okafor,,5.6,17.5,58.9,334
DOG-067,Dog,Poodle,63,36.3,C,B2024-014,2024-04-21,Dr. Smith,,8.9,9.1,83.4,335
DOG-251,Dog,Golden Retriever,114,NA,B,B2024-012,2024-02-01,Dr. Smith,,7.3,12.4,67,336
CAT-165,Cat,Maine Coon,58,3.2,A,B2024-003,2024-07-10,Dr. Okafor,,6.3,12.4,49.6,337
DOG-131,Dog,German Shepherd,102,32.9,A,B2024-003,2024-03-03,Dr. Smith,,6.1,18.8,61.9,338
DOG-037,Dog,German Shepherd,87,31.8,A,B2024-007,2024-04-28,Dr. Patel,,7.4,7.5,75.2,339
DOG-115,Dog,Labrador,67,38.6,A,B2024-010,2024-05-27,Dr. Patel,,7.7,10.3,83.2,340
DOG-201,Dog,Labrador,34,NA,B,B2024-003,2024-02-06,Dr. Okafor,,NA,11.4,80.2,341
DOG-166,Dog,Labrador,18,7.4,B,B2024-002,2024-09-19,Dr. Smith,,9,9.5,91.7,342
DOG-125,Dog,Golden Retriever,51,25.4,B,B2024-001,2024-05-19,Dr. Smith,,6.3,19.6,72.2,343
DOG-073,Dog,Golden Retriever,38,5.4,C,B2024-002,2024-09-13,Dr. Patel,,7.2,14.3,58.9,344
CAT-115,Cat,Bengal,104,6.1,A,B2024-015,2024-01-10,Dr. Okafor,,7,17,59.8,345
CAT-085,Cat,Bengal,7,4.8,A,B2024-006,2024-02-29,Dr. Chen,,3.8,24.2,28.6,346
CAT-034,Cat,British Shorthair,85,5.8,A,B2024-012,2024-10-19,Dr. Okafor,,7.9,2,44.9,347
CAT-097,Cat,Ragdoll,77,4.8,A,B2024-014,2024-05-21,Dr. Smith,,6.7,20.1,NA,348
DOG-097,Dog,Poodle,111,11.3,A,B2024-009,2024-10-03,Dr. Smith,,6.5,16.4,83,349
CAT-066,Cat,Ragdoll,32,6.8,C,B2024-007,2024-03-21,Dr. Smith,,8.7,9.1,63.6,350
CAT-166,Cat,Maine Coon,57,4.6,C,B2024-006,2024-11-20,Dr. Smith,,NA,18.8,43.7,351
DOG-133,Dog,Poodle,89,24,C,B2024-001,2024-04-11,Dr. Chen,,8.7,14.4,97,352
DOG-049,Dog,Beagle,47,37.9,C,B2024-006,2024-04-16,Dr. Okafor,,9.9,5.4,96.1,353
CAT-022,Cat,British Shorthair,30,4.5,A,B2024-008,2024-03-07,Dr. Patel,,5.5,18.7,39.5,354
CAT-184,Cat,Bengal,38,5.5,A,B2024-015,2024-04-21,Dr. Patel,,7.6,10.7,NA,355
DOG-243,Dog,Beagle,33,30.3,C,B2024-010,2024-05-01,Dr. Chen,,9.9,5.7,99.2,356
DOG-233,Dog,Golden Retriever,90,15.8,B,B2024-008,2024-01-25,Dr. Smith,,7.5,9.1,77.2,357
DOG-186,Dog,Labrador,85,17.4,B,B2024-003,2024-05-15,Dr. Patel,,7.6,19.8,NA,358
CAT-195,Cat,Bengal,19,5.8,A,B2024-012,2024-12-01,Dr. Okafor,,7.2,8.1,69.8,359
CAT-112,Cat,Siamese,99,NA,A,B2024-001,2024-03-26,Dr. Patel,,6.2,11.3,41.6,360
DOG-137,Dog,Beagle,34,16,B,B2024-003,2024-07-08,Dr. Smith,,NA,13.5,59.8,361
CAT-007,Cat,Ragdoll,99,3.5,A,B2024-005,2024-11-24,Dr. Smith,,6.6,11.2,67.3,362
CAT-036,Cat,Bengal,66,3.2,A,B2024-012,2024-10-15,Dr. Chen,,5.6,10.4,53.8,363
DOG-025,Dog,Golden Retriever,8,20.6,B,B2024-006,2024-11-11,Dr. Okafor,,NA,11,101.4,364
DOG-074,Dog,Labrador,115,28.6,C,B2024-010,2024-07-06,Dr. Patel,,6.6,16.3,92.7,365
CAT-106,Cat,Maine Coon,34,6.6,B,B2024-010,2024-11-17,Dr. Smith,,6.4,5.4,58.8,366
CAT-181,Cat,Maine Coon,102,4.1,C,B2024-010,2024-02-27,Dr. Okafor,,7.6,12.4,61.3,367
DOG-079,Dog,Labrador,75,5.6,A,B2024-010,2024-08-28,Dr. Chen,,5.6,17.6,55.5,368
CAT-048,Cat,Ragdoll,83,6.6,A,B2024-015,2024-05-04,Dr. Okafor,,NA,2,64.5,369
CAT-228,Cat,Maine Coon,35,5.8,C,B2024-001,2024-02-23,Dr. Smith,Unusual hesitation before eating,8.7,9.5,74.1,370
CAT-177,Cat,Ragdoll,8,6.8,B,B2024-002,2024-11-20,Dr. Okafor,,NA,19.2,33.6,371
CAT-039,Cat,Ragdoll,40,3.7,C,B2024-004,2024-03-20,Dr. Patel,,8.9,9.2,75.4,372
DOG-225,Dog,German Shepherd,28,6.4,B,B2024-005,2024-12-14,Dr. Okafor,,4.4,18.9,56.4,373
CAT-153,Cat,Bengal,104,5,B,B2024-007,2024-05-26,Dr. Okafor,,6.9,13.4,70.8,374
DOG-152,Dog,Golden Retriever,62,14,C,B2024-004,2024-02-28,Dr. Smith,,8.3,10.8,99.6,375
DOG-054,Dog,Poodle,88,28.4,C,B2024-004,2024-01-28,Dr. Smith,,7.3,13.6,69.2,376
DOG-034,Dog,German Shepherd,76,36,B,B2024-014,2024-08-26,Dr. Okafor,,NA,3.8,99.4,377
CAT-137,Cat,British Shorthair,79,5.1,C,B2024-008,2024-05-14,Dr. Patel,,10,4.6,NA,378
DOG-196,Dog,German Shepherd,15,15.7,B,B2024-015,2024-12-02,Dr. Patel,,9,4.4,72.7,379
DOG-057,Dog,German Shepherd,99,18.1,B,B2024-005,2024-06-13,Dr. Smith,,10,8,91,380
CAT-185,Cat,Siamese,114,3.2,B,B2024-012,2024-08-31,Dr. Patel,,7.6,14.7,NA,381
CAT-028,Cat,Maine Coon,28,3.6,C  ,B2024-003,2024-08-29,Dr. Patel,Refused initial sample,8.1,4.5,75,382
CAT-113,Cat,Ragdoll,28,6.1,C,B2024-005,2024-09-06,Dr. Smith,,7.4,9.9,63.1,383
DOG-040,Dog,Golden Retriever,79,12.1,A,B2024-005,2024-12-13,Dr. Okafor,,NA,13.4,97.4,384
DOG-199,Dog,Poodle,12,7.4,A,B2024-006,2024-08-16,Dr. Patel,Pet showed strong preference immediately,7.1,18.4,86.7,385
CAT-055,Cat,British Shorthair,118,6.1,A,B2024-002,2024-12-28,Dr. Chen,,5.4,13.3,34.7,386
DOG-132,Dog,Beagle,45,5.7,A,B2024-013,2024-12-16,Dr. Smith,,8.7,13.8,86.2,387
CAT-176,Cat,Bengal,95,4.2,B,B2024-010,2024-02-21,Dr. Chen,,7.5,6.9,80,388
CAT-104,Cat,Maine Coon,90,6.5,A,B2024-006,2024-02-17,Dr. Chen,,6.9,20.7,58.3,389
CAT-140,Cat,Ragdoll,90,5.8,B,B2024-015,2024-07-09,Dr. Chen,,7.2,8.5,NA,390
CAT-212,Cat,Ragdoll,114,3.6,C,B2024-014,2024-06-18,Dr. Patel,Refused initial sample,8.2,2,68,391
DOG-239,Dog,Poodle,7,5.6,B,B2024-005,2024-07-06,Dr. Smith,,8.5,2,100.2,392
DOG-094,Dog,Beagle,74,22.3,B,B2024-014,2024-02-04,Dr. Okafor,,NA,11.3,94.4,393
CAT-225,Cat,Bengal,61,4.1,C,B2024-009,2024-03-23,Dr. Smith,,7.3,13.8,75.8,394
DOG-093,Dog,Poodle,36,22.7,C,B2024-007,2024-07-17,Dr. Smith,,NA,2,91.3,395
DOG-004,Dog,Labrador,38,NA,A,B2024-002,2024-01-21,Dr. Smith,,7.4,10.1,72.8,396
CAT-109,Cat,Ragdoll,98,4.8,A,B2024-011,2024-05-07,Dr. Patel,,6,14.4,35.9,397
DOG-006,Dog,German Shepherd,41,17.3,C,B2024-005,2024-01-01,Dr. Smith,,7.6,15.8,62.1,398
DOG-206,Dog,Poodle,98,39.9,C,B2024-009,2024-09-01,Dr. Chen,,9.4,7,101.8,399
DOG-023,Dog,Poodle,7,36.8,B,B2024-001,2024-06-18,Dr. Chen,,5.7,13.4,NA,400
CAT-005,Cat,British Shorthair,49,3.7,A,B2024-001,2024-06-15,Dr. Smith,,5,15.1,49.9,401
DOG-086,Dog,Beagle,94,17.8,A,B2024-008,2024-11-18,Dr. Smith,,4.9,19.8,65.5,402
CAT-102,Cat,Maine Coon,8,6.4,B,B2024-009,2024-02-23,Dr. Smith,NA,7.6,14.2,67.2,403
DOG-235,Dog,Labrador,16,17.2,B,B2024-002,2024-10-19,Dr. Chen,,9.4,5.7,92.1,404
CAT-133,Cat,Bengal,27,3.4,B,B2024-004,2024-10-23,Dr. Okafor,,9.5,7.6,87.6,405
DOG-170,Dog,Poodle,16,36.8,A,B2024-014,2024-05-06,Dr. Patel,,8.1,10.6,NA,406
CAT-222,Cat,Ragdoll,68,4.4,A,B2024-010,2024-06-21,Dr. Smith,,6.9,11.2,74.8,407
DOG-253,Dog,Poodle,107,33.2,C,B2024-007,2024-03-25,Dr. Patel,,7.1,14.8,81,408
CAT-057,Cat,British Shorthair,18,4.8,C,B2024-011,NA,Dr. Patel,,7.7,12,61.8,409
CAT-046,Cat,Maine Coon,11,NA,B,B2024-001,2024-05-05,Dr. Chen,,9.5,2,95.7,410
DOG-080,Dog,German Shepherd,113,35,A,B2024-001,2024-10-31,Dr. Okafor,,NA,7.6,79,411
DOG-010,Dog,German Shepherd,27,10.3,C,B2024-002,2024-06-03,Dr. Patel,,8.5,11.7,86.1,412
CAT-075,Cat,British Shorthair,54,NA,A,B2024-013,2024-08-22,Dr. Okafor,,3.8,20.5,31.1,413
CAT-117,Cat,Ragdoll,19,6.8,C,B2024-003,2024-06-22,Dr. Okafor,,8,15.1,75,414
CAT-146,Cat,British Shorthair,40,5.5,C,B2024-009,2024-11-29,Dr. Okafor,,NA,11.8,62.9,415
CAT-009,Cat,Maine Coon,49,4.3,A,B2024-012,2024-08-26,Dr. Patel,NA,5.2,15.8,42.4,416
DOG-179,Dog,Poodle,105,32.8,B,B2024-002,2024-11-25,Dr. Okafor,,6.2,16.9,73.4,417
CAT-150,Cat,Bengal,92,3.4,A,B2024-002,2024-02-13, Dr. Patel,,4,23.2,NA,418
CAT-192,Cat,Ragdoll,25,6,C,B2024-003,2024-09-15,Dr. Patel,,NA,3.3,82.3,419
DOG-071,Dog,German Shepherd,66,27.3,C,B2024-003,2024-01-12,Dr. Chen,,6.5,14.7,63.6,420
CAT-226,Cat,Maine Coon,94,3.7,B,B2024-013,2024-07-30,Dr. Smith,,7,12.3,NA,421
CAT-084,Cat,British Shorthair,51,4.9,B,B2024-004,2024-12-23,Dr. Okafor,,8.7,13.4,58.9,422
CAT-210,Cat,Maine Coon,51,NA,C,B2024-004,2024-02-18,Dr. Chen,,7.7,7.9,60.3,423
DOG-082,Dog,Golden Retriever,35,27.8,B,B2024-013,2024-07-07,Dr. Okafor,,7.4,9.8,86,424
DOG-020,Dog,German Shepherd,18,17.9,B,B2024-013,2024-07-16,Dr. Chen,,9.9,4.3,92.3,425
CAT-116,Cat,Ragdoll,70,4.1,B,B2024-004,2024-11-19,Dr. Smith,,6.9,9.2,NA,426
DOG-214,Dog,German Shepherd,44,25.9,A,B2024-007,2024-05-08,Dr. Okafor,,8.7,4.4,95.2,427
DOG-172,Dog,Labrador,31,26.3,A,B2024-009,2024-03-05,Dr. Chen,,8.5,11.7,112.8,428
CAT-087,Cat,Ragdoll,102,6.5,C,B2024-012,2024-07-20,Dr. Okafor,Container seal was compromised,7.5,6.1,74.6,429
DOG-262,Dog,Beagle,96,NA,C,B2024-005,2024-08-10,Dr. Chen,,9.1,3,80.2,430
CAT-208,Cat,British Shorthair,84,4.3,A,B2024-011,2024-03-15,Dr. Chen,,6.5,15,54.8,431
CAT-218,Cat,Ragdoll,115,5.1,A,B2024-010,2024-02-22,Dr. Chen,,7,13.4,71.2,432
DOG-257,Dog,Labrador,92,10.1,B,B2024-003,2024-06-03,Dr. Smith,,6.1,10.2,54.8,433
CAT-136,Cat,Bengal,65,5.4,C,B2024-014,2024-04-30,Dr. Patel,,7.8,11.4,N/A,434
DOG-127,Dog,Labrador,100,28,B,B2024-009,2024-08-10,Dr. Chen,,7.1,16.2,76.3,435
DOG-213,Dog,Beagle,103,NA,A,B2024-015,2024-02-15,Dr. Patel,Technician noted unusual batch texture,9.7,2,95.4,436
CAT-090,Cat,Siamese,50,3.4,C,B2024-005,2024-11-14,Dr. Patel,,9.1,12.4,53.7,437
DOG-001,Dog,Labrador,102,35.5,C,B2024-011,2024-05-05,Dr. Smith,,8.6,12.3,76.7,438
DOG-064,Dog,Labrador,79,29.8,B,B2024-001,2024-08-24,Dr. Chen,,7.5,8.3,63.2,439
DOG-198,Dog,Labrador,111,23,C,B2024-010,2024-10-05,Dr. Chen,NA,7.3,10.5,73.4,440
DOG-051,Dog,Golden Retriever,92,29.1,B,B2024-002,2024-03-31,Dr. Smith,,8.1,12.8,93.9,441
CAT-027,Cat,British Shorthair,104,6.3,A,B2024-004,2024-09-15,Dr. Okafor,,6.7,5.4,48.1,442
CAT-062,Cat,Siamese,76,4.6,B,B2024-012,2024-06-04,Dr. Chen,,6.8,10.3,63,443
CAT-100,Cat,Siamese,28,6.2,A,B2024-012,2024-03-31,Dr. Chen,,7.4,4.5,59.8,444
DOG-255,Dog,Golden Retriever,100,36.3,A,B2024-012,2024-02-25,Dr. Smith,,NA,8.4,69.1,445
DOG-169,Dog,Labrador,6,24.3,B,B2024-012,2024-08-09,Dr. Patel,,6.8,9,91.5,446
CAT-123,Cat,British Shorthair,97,6.1,B,B2024-012,2024-03-02,Dr. Okafor,,7.1,8.6,69.4,447
DOG-099,Dog,Poodle,70,21.6,C,B2024-002,2024-08-05,Dr. Smith,,6,14.6,NA,448
DOG-216,Dog,Golden Retriever,90,8.2,B,B2024-006,2024-02-18,Dr. Smith,,7.1,13.9,58.4,449
DOG-077,Dog,Poodle,113,26.4,B,B2024-012,2024-04-21,Dr. Chen,,7,21.7,75,450
DOG-269,Dog,Beagle,108,7.6,C,B2024-009,2024-07-11,Dr. Okafor,,5.4,15.7,80.8,451
CAT-024,Cat,Siamese,111,5.9,B,B2024-010,2024-08-02,Dr. Okafor,,7.4,4.7,NA,452
CAT-043,Cat,British Shorthair,34,6.4,A,B2024-012,2024-02-25,Dr. Okafor,,5.8,14.6,50.1,453
CAT-168,Cat,Bengal,40,5.9,C,B2024-002,2024-06-30,Dr. Smith,,7.5,7,55.9,454
CAT-067,Cat,Bengal,26,5.2,C,B2024-009,2024-10-03,Dr. Smith,,8.2,8.6,62.1,455
DOG-270,Dog,Golden Retriever,112,18.9,A,B2024-001,2024-06-24,Dr. Patel,,7.2,15,NA,456
CAT-187,Cat,Siamese,108,5.6,B,B2024-009,2024-02-11,Dr. Smith,,7.2,11.9,64.6,457
CAT-091,Cat,British Shorthair,31,3.9,A,B2024-013,2024-11-18,Dr. Patel,,3.5,23.9,35.3,458
DOG-177,Dog,Beagle,116,6.6,C,B2024-015,2024-12-31,Dr. Okafor,,8,6.5,84.9,459
CAT-130,Cat,Ragdoll,80,3.5,B,B2024-009,2024-12-14,Dr. Okafor,,8.4,13.8,64.8,460
CAT-114,Cat,Bengal,60,3.5,B,B2024-008,2024-04-12,Dr. Patel,,7.4,6.9,63.3,461
CAT-202,Cat,British Shorthair,116,3.6,B,B2024-013,2024-05-11,Dr. Patel,,7,7.2,36.7,462
